"Species name","IUCN","FUSE","EDGE2"
"Orectolobus_floridus","3","1","1"
"Orectolobus_halei","2","1","1"
"Orectolobus_hutchinsi","3","1","1"
"Orectolobus_japonicus","1","1","1"
"Orectolobus_maculatus","3","1","1"
"Orectolobus_ornatus","2","1","1"
"Orectolobus_parvimaculatus","2","1","1"
"Orectolobus_reticulatus","2","1","1"
"Orectolobus_wardi","3","1","1"
"Oxynotus_bruniensis","1","1","1"
"Oxynotus_caribbaeus","1","1","1"
"Oxynotus_centrina","1","1","1"
"Oxynotus_japonicus","1","1","1"
"Oxynotus_paradoxus","1","1","1"
"Paragaleus_leucolomatus","1","1","1"
"Paragaleus_pectoralis","1","1","1"
"Paragaleus_randalli","2","1","1"
"Paragaleus_tengi","1","1","1"
"Parascyllium_collare","2","1","1"
"Parascyllium_elongatum","1","1","1"
"Parascyllium_ferrugineum","4","1","1"
"Parascyllium_sparsimaculatum","3","1","1"
"Parascyllium_variolatum","3","1","1"
"Paratrygon_aiereba","3","1","1"
"Parmaturus_albimarginatus","4","1","1"
"Parmaturus_albipenis","3","1","1"
"Parmaturus_bigus","4","1","1"
"Parmaturus_lanatus","1","1","1"
"Parmaturus_macmillani","3","1","1"
"Parmaturus_melanobranchus","1","1","1"
"Parmaturus_pilosus","1","1","1"
"Parmaturus_xaniurus","1","1","1"
"Pastinachus_atrus","2","1","1"
"Pastinachus_sephen","1","1","1"
"Pastinachus_solocirostris","1","1","1"
"Himantura_fai","1","1","1"
"Himantura_hortlei","1","1","1"
"Himantura_jenkinsii","1","1","1"
"Himantura_uarnacoides","1","1","1"
"Pavoraja_alleni","1","1","1"
"Pavoraja_arenaria","1","1","1"
"Pavoraja_mosaica","3","1","1"
"Pavoraja_nitida","2","1","1"
"Pavoraja_pseudonitida","4","2","1"
"Pavoraja_umbrosa","1","1","1"
"Pentanchus_profundicolus","1","1","1"
"Planonasus_parini","1","1","1"
"Platyrhina_sinensis","1","1","1"
